A (1000).jpg	0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A (1001).jpg	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A (1002).jpg	0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A (1003).jpg	0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A (1004).jpg	0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A (1005).jpg	0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A (1006).jpg	0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A (1007).jpg	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A (1008).jpg	0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A (1009).jpg	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A (1010).jpg	0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A (1011).jpg	0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A (1012).jpg	0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A (1013).jpg	0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
A (1014).jpg	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A (1015).jpg	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A (1016).jpg	0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A (1017).jpg	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A (1018).jpg	0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A (1019).jpg	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A (1020).jpg	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A (1021).jpg	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A (1022).jpg	0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A (1023).jpg	0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A (1024).jpg	0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A (1025).jpg	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A (1026).jpg	0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A (1027).jpg	0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A (1028).jpg	0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A (1029).jpg	0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A (1030).jpg	0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A (1031).jpg	0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
A (1032).jpg	0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A (1033).jpg	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A (1034).jpg	0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A (1035).jpg	0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A (1036).jpg	0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A (1037).jpg	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A (1038).jpg	0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A (1039).jpg	0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A (1040).jpg	0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
A (1041).jpg	0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
A (1042).jpg	0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
A (1043).jpg	0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A (1044).jpg	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A (1045).jpg	0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
A (1046).jpg	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A (1047).jpg	0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A (1048).jpg	0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A (1049).jpg	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
